Index,FlyBaseID
0,FBgn0029535
1,FBgn0040892
2,FBgn0052806
3,FBgn0029596
4,FBgn0010296
5,FBgn0002855
6,FBgn0002856
7,FBgn0031786
8,FBgn0051606
9,FBgn0032039
10,FBgn0032110
11,FBgn0051882
12,FBgn0003087
13,FBgn0032375
14,FBgn0028412
15,FBgn0028853
16,FBgn0032658
17,FBgn0051788
18,FBgn0032740
19,FBgn0037500
20,FBgn0051464
21,FBgn0038097
22,FBgn0038123
23,FBgn0038204
24,FBgn0051206
25,FBgn0038942
26,FBgn0038944
27,FBgn0039129
28,FBgn0011670
29,FBgn0039811
30,FBgn0042198
31,FBgn0050447
32,FBgn0030048
33,FBgn0034705
34,FBgn0033950
35,FBgn0050485
36,FBgn0050065
37,FBgn0033683
38,FBgn0033280
39,FBgn0033279
40,FBgn0040778
41,FBgn0053494
42,FBgn0039711
43,FBgn0036609
44,FBgn0000094
45,FBgn0031270
46,FBgn0054025
47,FBgn0083936
48,FBgn0040531
49,FBgn0085242
50,FBgn0085243
51,FBgn0085298
52,FBgn0085309
53,FBgn0085357
54,FBgn0085361
55,FBgn0250831
56,FBgn0250835
57,FBgn0261287
58,FBgn0034737
59,FBgn0034839
60,FBgn0034841
61,FBgn0034998
62,FBgn0011694
63,FBgn0035139
64,FBgn0035138
65,FBgn0263597
66,FBgn0264707
67,FBgn0040694
68,FBgn0015585
69,FBgn0030374
70,FBgn0030373
71,FBgn0030462
72,FBgn0030643
73,FBgn0030905
74,FBgn0030936
75,FBgn0030983
76,FBgn0052192
77,FBgn0036703
78,FBgn0036705
79,FBgn0052163
80,FBgn0036438
81,FBgn0036439
82,FBgn0052368
83,FBgn0035782
84,FBgn0031104
85,FBgn0051955
86,FBgn0031512
87,FBgn0051949
